id,created,updated,title,content,tags,product,topic,locale
1268005,1567554268,1567554268,Firefox spawns new profiles after every reboot of macOS High Sierra...,"<p>...and doesn't honour a default status of the profile set as such earlier. I have to go to profiles preferences and switch the profile I use back to default one, otherwise it selects every new profile created with each launch as its new default.
</p><p>I use the same browser in Mavericks (OS X 10.9.5) without any issues with regard to starting from the profile set as default.
Could it be because of the way High Sierra handles security?
</p>",download-and-install_1;firefox-690;desktop;,firefox,download-and-install,en-US
1268004,1567554104,1567554104,Firefox is aburdly slow and Mozilla employeed archive any post regarding performance failures.  Help!,"<p>I have firefox 68.0.2 (the latest update)_ and it completely sucks.  I was running Firefox on Windows and it was great.  On linux it's a complete mess.  Same machine.  Youtube Videos stutter - not watchable.  Basic functionality in Facebook is painful.  It's like the 1990's all over.  Can anyone help.  Please don't suggest the absurd ""Reset Firefox"" function.  Only for morons.
</p>",firefox-680;desktop;fix-problems;linux;,firefox,fix-problems,en-US
1268001,1567552620,1567563677,Containers - how can I set the maximum size of each? (Firefox CP Content) to solve sluggish performance,"<p>Very sluggish performance, scrolling or changing tabs etc.  There are 7 ""Firefox CP Content"" processes running, each about 800 MB but I've seen them go to maybe 1.3 GB.  I'm thinking that swapping that much memory takes a long time, so maybe if I force them to be no mor then 500 MB It might help.
</p><p>Can't find a Preference for ""cache size"" anymore - why not
Content Process Limit is maxed out at 7.
</p>",firefox-600;customize;desktop;mac-os;,firefox,customize,en-US
1268000,1567551506,1567556597,"I suddenly cant stream on any platforms like hulu, etc. it says to update, which I did, then I reset it like told.","<p>netflix wont play, it goes to a screen that says it wont play due to licensing issues with the player. On Hulu, it says to update firefox, which I did, but same problem. When I use Safari it works perfectly. This started about a week ago.
</p>",firefox-690;desktop;fix-problems;mac-os;,firefox,fix-problems,en-US
1267997,1567549493,1567563997,Enhanced Tracking Protection and Facebook,"<p>I see that Firefox 69 enabled Enhanced Tracking Protection for all users by default.  I'm curious as to why it is not working (no shield icon) on Facebook.
</p>",firefox-690;privacy-and-security_1;desktop;windows-10;,firefox,privacy-and-security,en-US
1267994,1567544073,1567550054,Nothing works now,"<p>This morning, 09/03, Firefox was updated. After that, every time I would open a Facebook game I would be prompted to run Flash Player. Posted on Community, no response. Decided to uninstall/reinstall. Now, everything is F__d'ed up. When I click on any game, all I get is a black window. Also, I've always left two tabs open and when I'm finished on-line, I would click on the red X in the upper right. Then, when I wanted to go back on line, when I click on the Firefox icon in the task bar, both tabs would come up. Now, if I click on the X, I get a warning I'm about to close two tabs. If I click OK, both tabs are closed and when I open Firefox again, they are not there. Getting sick and tired of the problems.
</p>",firefox-690;other;desktop;windows-10;,firefox,other,en-US
1267992,1567543778,1567549050,i just have something for everyone inculding mozilla team as well.,"<p>i went on about:config    &amp; typed in network.http.max-connections  to 43,200 also network.http.max-persistent-connections-per-server to 43,200 &amp; its just as fast as ever i think faster or as fast as chrome out of the box...so far no hiccups or web pages breaking. I'm using KDE Neon 64-bit Linux Distro &amp; I would like to read what everbody has to say about it...thoughts, opinions anything would be awesome so far it has not crashed or anything.
</p>",firefox-680;other;desktop;linux;,firefox,other,en-US
1267991,1567543667,1567549118,Firefox suddenly stopped working.,"<p>Opens to blank page, no toolbar, all buttons don't work.  I can type into URL window &amp; will take me to a webpage but that's it.  I am sending this from Safari because I can't use Firefox.
</p>",desktop;fix-problems;,firefox,fix-problems,en-US
1267988,1567541407,1567550961,youtube search result scrolling jumping back to the top!,"<p>While scrolling video searches in YOUTUBE when you get to the bottom of the displayed results (NOT THE END OF RESULTS, BUT THE BOTTOM OF THE DISPLAYED ON THE SCREEN RESULTS) while loading the next result, FIREFOX jumps back to the beginning of the results, and you have to scroll back through the ones you have already been through to get to the spot you left off! its VERY Aggravating, and time consumming! can we please fix this issue???
</p>",firefox-680;desktop;fix-problems;windows-10;needsinfo;,firefox,fix-problems,en-US
1267986,1567537728,1567552230,Can't save any pictures from anywhere,"<p>This has happened to me before, but now it's really bad. I can't save ANY photos to my computer. For example, when I right click to save an image, say on Pinterest, and go to save it a file extension doesn't appear. When I click on the drop down menu for file type nothing shows up either. 
</p><p>I followed these suggestions, but no go. 
</p><p><a href=""https://support.mozilla.org/en-US/questions/1249717"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1249717</a>
<a href=""https://support.mozilla.org/en-US/questions/1248840"" rel=""nofollow"">https://support.mozilla.org/en-US/questions/1248840</a>
</p><p>Also, I don't have the option:
</p><p>network.http.accept.default = text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 =&gt; text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8 
</p><p>in my about:config. 
</p><p>I've cleared the cache and cookies and I had just did a clean install of the most recent update when I re-installed Windows 10. This is very frustrating to me because I save a lot of images from various sources. I'd really appreciate any and all help. 
</p><p>Thank you!
</p>",firefox-680;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US
