id,created,updated,title,content,tags,product,topic,locale,answers,creator
1285703,2020-04-29 15:21:07 -0800,2020-04-29T15:44:26Z,"While on Firefox, if I go to Google Maps, Firefox crashes.  How do I fix this","<p>While on Firefox, if I go to Google Maps, Firefox crashes.  How do I fix this </p>",firefox-750;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US,1309400;,Pomona73
1285702,2020-04-29 14:51:56 -0800,2020-04-29T14:51:56Z,"Eu tive que reinstalar o windows, e minhas contas e senhas não estão voltando para o novo mozzila","<p>Conectei a conta de antes e nem os favoritos voltaram, eram muitas contas e senhas </p>",firefox-750;sync;desktop;windows-10;,firefox,sync,pt-BR,"",gumballadventure7
1285701,2020-04-29 14:39:43 -0800,2020-04-29T14:49:10Z,torproject will not open due to lack of appropriate permissions,"<p>After downloading ""<a href=""http://torproject.org"" rel=""nofollow"">torproject.org</a>"", windows 10 states ""windows cannot access specified device path or file.You may not have the appropriate permissions to access the item"".  </p><p>What is the fix to eliminate this problem. </p><p>Regards, </p><p>mikeandsylvia </p>",privacy-and-security_1;firefox-750;desktop;windows-10;,firefox,privacy-and-security,en-US,1309391;,mikeandsylvia
1285699,2020-04-29 14:19:18 -0800,2020-04-29T20:35:16Z,linux firefox clicking permission to add extension in dropdown is ignored,"<p>Can not add extensions in firefox running in suse linux . After selecting install of extension e.g. flash, there is a dropdown with cancel , add . Clicking on either has no effect. In addition is there any to see the page source of the dropdown not just the page displayed? </p>",firefox-750;other;desktop;linux;,firefox,other,en-US,1309388;1309413;1309431;1309446;,dml12
1285697,2020-04-29 13:36:04 -0800,2020-04-29T14:55:17Z,Unable to open links in new tab,"<p>I have tried previously listed fixes, like changing browser.search.openintab, browser.urlbar.openintab and browser.tabs.loadBookmarksInTabs to true, and of course the checkbox is selected in my preference to open links in a new tab but none of those have worked. I already know about Cmd/ctrl+click but the point is I shouldn't have to do that when I've already stated the preference and it is a pain when you are sifting through long pages of search results. I am using Google search and there is no option in Google preferences to open in new tab, so I'm assuming this is on FF's end. </p>",tabs;firefox-750;desktop;mac-os;,firefox,tabs,en-US,1309392;,aprilsteed
1285695,2020-04-29 13:01:24 -0800,2020-04-29T13:01:24Z,save greyed,"<p>Hi, </p><p>when I try to download by clicking a link often the save window has the save/ok button greyed. I couldn't figure out the pattern. It happens with different file types (executables, PDFs, images etc). I reset my profile, I created a new one. I reset Windows 10 but the problem still persists. I tried to modify the window settings of not hiding file extensions (as seen in a similar thread), but none of these tricks worked.  </p><p>It is annoying because not always can I right click and choose save as (which works). Some download buttons are javascript-handled. </p><p>Thank you in advance for your help </p>",firefox-750;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US,"",marko.tkalcic
1285694,2020-04-29 12:59:41 -0800,2020-04-29T20:30:23Z,"I would like to change the text in the address bar from ""Search with *engine* or enter address"" to something else. How would i go about doing this?","<p>I prefer only using the search bar for looking things up, and this omnibar crap isn't what i prefer. I turned off being able to search in the address bar in about:config, but it still displays the text ""Search with DuckDuckGo or enter address"". How do i change this to what i want it to display? </p>",other;desktop;windows-10;,firefox,other,en-US,1309444;,elmeniari555
1285693,2020-04-29 12:51:22 -0800,2020-04-29T12:51:22Z,Using Mac OS Catalina v10.15.3  I need only one webpage for work in Firefox. Wants to install silverlight (installed) get message connection is not secure. Help,"<p>How do I bypass connection is not secure message. Was using Firefox v 52.5.2esr having turned off auto upgrade feature. Need to access a page for work. Silverlight installed. At work ok, but now working from home on my Mac really causing an issue. Help </p>",firefox-570;websites;desktop;mac-os;,firefox,websites,en-US,"",noel10
1285688,2020-04-29 11:56:46 -0800,2020-04-29T17:35:24Z,Silverlight issue,"<p>I have been running xactimate online software on FIREFOX version 52.9.0 on Macbook Pro 2019 13 inch but suddenly it stop working and it giving the error 'Xactimate Online requires Isolated Storage to be enabled. Please enable isolated storage'. The screenshot of error is also attached. </p><p>However, I tried everything by going into silverlight preferences but no success. Helpful and prompt reply would be appreciated. </p><p>Thanks &amp; Best Regards, Danish </p>",desktop;fix-problems;,firefox,fix-problems,en-US,1309353;1309354;1309408;,danish-madni
1285687,2020-04-29 11:32:25 -0800,2020-04-29T11:58:10Z,YouTube pushes popups,"<p>I have popups blocked in Firefox, but YouTube somehow manages to generate a very annoying popup at the bottom left of the screen, frequently. How do I prevent this? </p>",firefox-750;other;desktop;windows-7;,firefox,other,en-US,1309347;,eddiejoepopcorn
