id,created,url,title,content,tags,product,locale
1286384,2020-05-07 16:31:06 -0800,https://support.mozilla.org/questions/1286384,How do I delete Folders from Bookmarks?,"History:  How can I delete all the bookmarks in the ""Older Than 6 mo."" without having to select groups of bookmarks? Bookmarks:  Same question Thanks for your help ",macos;,firefox,en-US
1286385,2020-05-07 16:32:36 -0800,https://support.mozilla.org/questions/1286385,"Removing title bar does not work (Firefox 76.0, Pop!_OS 20.04)","Going to ""Customize"" and then unchecking ""Title Bar"" has no effect. ",customize;desktop;firefox-760;linux;,firefox,en-US
1286386,2020-05-07 16:39:41 -0800,https://support.mozilla.org/questions/1286386,Locked out of password by new Lockwise 76. My desktop updated itself and with no,This is not the account I am worried about but since I have no idea what password is attached to my firefox account I have no way to sign on as that user and had to create another account using another email account! I am disabled and have no way to remember passwords. It is esse...,privacy-and-security_1;firefox-750;desktop;windows-10;passwords-os-auth;,firefox,en-US
1286387,2020-05-07 17:08:58 -0800,https://support.mozilla.org/questions/1286387,Crashing when playing Flash Games,"In Under Control the screen flashes and goes to either black or white.  No Flash crash symbol shows up.  Intermittent problem, will work fine for several days and then crash repeatedly.  RJ Games ""fix"" was use Chrome.  Restarting Firefox has no impact.  Clearing stored data has n...",fix-problems;desktop;firefox-760;windows-10;,firefox,en-US
1286389,2020-05-07 18:10:34 -0800,https://support.mozilla.org/questions/1286389,Can no longer move/resize Firefox or Thunderbird windows,Hello.  This problem seems to have developed a couple days ago.  I noticed in both my Firefox web browser 76.0 (64-bit) and Thunderbird mail client 68.8.0 (32-bit) that I can no longer use the mouse to drag the window around or resize the window?!?  All other applications are sti...,fix-problems;desktop;firefox-760;windows-7;,firefox,en-US
1286390,2020-05-07 18:59:31 -0800,https://support.mozilla.org/questions/1286390,When I change the default expiry in Firefox Send it doesn't upload the file,As above when I change the download expiry for Firefox Send the file doesn't ulpoad and the screen just shows the login page as second image below ,firefox-750;desktop;fix-problems;windows-10;,firefox,en-US
1286391,2020-05-07 19:04:29 -0800,https://support.mozilla.org/questions/1286391,How could my bookmarks be added to my husband's bookmarks?,My husband showed me under his signed account some of my bookmarks within his.  How could this happen?  I double checked that he was logged in under his email. ,bookmarks;desktop;,firefox,en-US
1286393,2020-05-07 19:08:08 -0800,https://support.mozilla.org/questions/1286393,Any way to zoom on Youtube video's page but not on youtube's main page,"Hello! I would like to know if there is any way to get a default zoom on youtube video's page, like regular videos and stuff but not on the main page of Youtube.  Im using a 1440p monitor and everything looks tiny, so i zoomed to about 115%, which on the videos pages and the vide...",websites;desktop;firefox-760;windows-10;,firefox,en-US
1286394,2020-05-07 19:09:03 -0800,https://support.mozilla.org/questions/1286394,"I installed some add-ons and I don't see them in the toolbar, customize thing, o",How do I make them show up in my toolbar? windows 10 firefox ,firefox-750;customize;desktop;windows-10;,firefox,en-US
1286395,2020-05-07 19:10:53 -0800,https://support.mozilla.org/questions/1286395,"Where is the Firefox refresh button. If I am in webmail, I get slowed down. 20 m",None of the above solves my problem with Google Chrome running script whenever I open webmail from earthlink. ,fix-problems;desktop;firefox-760;windows-7;,firefox,en-US
