id,created,url,title,content,tags,product,locale
1288055,2020-05-23 17:31:09 -0800,https://support.mozilla.org/questions/1288055,Log off notices,"For the past week I have been logged off my email page!  I get a note with a page that shows that I have hit log on or something, and when I do that, it says: ""logout successful""!  I didn't want to log out! So I click my email name again and log on again...but AGAIN if I am not active for a while, the same thing happens! And it is from AT&T and Yahoo, but I am using Firefox to log onto my email account and Facebook and everything! ",other;desktop;firefox-760;windows-10;,firefox,en-US
1288057,2020-05-23 18:21:42 -0800,https://support.mozilla.org/questions/1288057,Tab default,How can I have Startpage as my default when I open a new tab in Firefox. I run Win 10 Pro 64 bit ,tabs;desktop;firefox-760;windows-10;,firefox,en-US
1288059,2020-05-23 18:29:40 -0800,https://support.mozilla.org/questions/1288059,"all my downloads re being saved as html, files including images and pdf files, w","for some time now all my downloads are being saved as html or ""files"" extension files including images and pdf files, what can I do? I read another tread from 5 years with similar problem and 1  i already checked the settings and checked the option ""save file"" 2 Im using widows 10 ",download-and-install_1;desktop;firefox-760;windows-10;,firefox,en-US
1288061,2020-05-23 19:26:06 -0800,https://support.mozilla.org/questions/1288061,G. O. R,Google ,firefox-460;bookmarks;desktop;windows-10;,firefox,en-US
1288062,2020-05-23 19:36:36 -0800,https://support.mozilla.org/questions/1288062,serviceonline.bihar.gov.in,I want to browsing the above link ,websites;desktop;,firefox,en-US
1288064,2020-05-23 19:51:42 -0800,https://support.mozilla.org/questions/1288064,Restore opened tabs / multiple Firefox open?,I had multiple Firefox browsers open. Each had multiple tabs open. My setting for When Startup is for Restore Previous Session. But in my case it is only restoring the last one browser closed.  How do I get all opened tabs restored? ,tabs;desktop;firefox-760;windows-10;,firefox,en-US
1288065,2020-05-23 20:02:31 -0800,https://support.mozilla.org/questions/1288065,Clicking on images dowsn't work,"I am using Firefox Browser Version 76.01. (64-bit). When logged in to google account through Mozilla Firefox, I cannot log out of by clicking on the profile picture, as the click does not open the log out menu. And when using google image search, when an image is clicked it is unresponsive and the picture I clicked doesn't load. What can I DO? I tried many options which are there in various forums, but none of it solves the problem. Desperately thinking of abandoning using Firefox. ",fix-problems;desktop;firefox-760;windows-10;,firefox,en-US
1288068,2020-05-23 20:20:23 -0800,https://support.mozilla.org/questions/1288068,can not stay logged-in for 2 weeks with my e-mail,e-mail will not stay logged-in for 2 weeks.  I have to sign-in each time I go to my e-mail ,other;desktop;firefox-760;windows-10;,firefox,en-US
1288069,2020-05-23 20:21:01 -0800,https://support.mozilla.org/questions/1288069,How to get rid of search engines in address bar?,"Please see the attached the image.   I've got a separate search bar, yet the address bar pops up search engine suggestions that are navigable with the keyboard, too. I'd really like to get rid of this - it seems to have popped up recently. Thanks in advance. ",customize;desktop;firefox-760;windows-7;,firefox,en-US
1288070,2020-05-23 20:42:15 -0800,https://support.mozilla.org/questions/1288070,Remove close button on single tab,"Is there a way to remove the close button when i only have a single tab open? I constantly click the close button whenever i have a single tab open when i mean to click the new tab button. I dont see the reason why there should be two close buttons (one on the tab, and one on the upper right of the window) ",tabs;desktop;firefox-760;windows-10;,firefox,en-US
