id,created,updated,title,content,tags,product,topic,locale,answers,creator
1295414,2020-07-17 21:22:10 -0800,2020-07-17 21:22:10 -0800,iCloud notes flickers on firefox,"<p>When accessing <a href=""http://icloud.com"" rel=""nofollow"">icloud.com</a> through Firefox, and reading / editing icloud notes, my screen constantly flickers only on one half black and white which is the currently open note, this can be reproduced to every note.  </p><p>I've checked other browsers, Microsoft edge, and internet explorer, this doesn't happen there.  </p><p>Here are some screenshots, when typing, or scrolling the page constantly flickers black and white on the open note.  </p><p>Only the right hand side of the note is affected, the rest of the screen / page remains unaffected. </p>",websites;firefox-780;desktop;windows-10;,firefox,websites,en-US,"",Tarek.Jabado
1295406,2020-07-17 17:46:22 -0800,2020-07-17 17:46:22 -0800,RoboForm Submenus popup in wrong location,"<p>Firefox 78.0.2 64-bit RoboForm 8.9.0.0 Standard laptop display </p><p>Problem When I click on the RoboForm icon (which appears on the far right of FireFox's toolbar), its main dialog pops up just below the icon. When I select any item in the dialog, the sub-menu or sub-dialog pops up on the far left edge of FireFox (screenshot attached). It should popup at the cursor. This is a relatively new issue (month?). RoboForm still works correctly with Chrome. </p><p>I have: o Refreshed FireFox o Removed and reinstalled RoboForm extension o Uninstalled both FireFox and RoboForm and reinstalled both. o Removed all other extensions and addons. </p><p>RoboForm support has not been able to fix/identify this problem. </p><p>Anyone else experienced this issue or have a suggestion? </p><p>Thanks, Dan </p>",firefox-780;customize;desktop;windows-10;,firefox,customize,en-US,"",dan138
1295405,2020-07-17 17:43:26 -0800,2020-07-17 19:52:26 -0800,Firefox open link in new tab sometimes loads link in current tab as well.,"<p>I regularly open links in a new tab to read later, especially for websites that I know will be slow to load (my internet is not great). </p><p>For the last couple of months, sometimes when I open a link in a new tab, it loads the link in the tab I'm in in addition to the new tab. If I go to the new tab immediately, wait for it to load the page completely, and then go back to the original tab to continue browsing in that tab, it's fine. If I open the link in a new tab and stay in the original tab to continue browsing further, the original tab will load the link in addition to the new tab so that the link is open in two tabs and the page I was on isn't in any tab. The back button still works, but it is INCREDIBLY annoying. </p><p>It doesn't do this on all links, but it consistently does that when I am using my Outlook email via webbrowser, and clicking on a link in the Washington Post email digest to a Washington Post article. For a while I thought it was just some weird thing in the Washington Post emails, but I have noticed it happening on other websites as well, most recently when I was on tumblr and clicked on a gofundme link. </p><p>Is this a general Firefox problem? a problem with an extension? </p>",tabs;firefox-780;desktop;windows-10;,firefox,tabs,en-US,1333790;1333791;1333793;,annahaugen
1295403,2020-07-17 17:03:58 -0800,2020-07-17 18:43:23 -0800,My Firefox Browser Is Being Accessed Remotely and cetain formerly secure websites are changed to insecure.  I need help in securing my MAC IOS,"<p>A group of experienced hackers have made my devices their target.  They continue to remove any security I try to place on my computer, i.e., downloading developer apps which allow them to administer the computer and devices. </p><p>They have maliciously targeted my business and sabotaged a lot of my apps so that they will not work.  Going to the ""Authorities"" is a waste of time.  so I will not discuss this. </p><p>I need help in tracing the street trash thugs who continue to access my computer, place malicious malware and worms on my computer so that it will not function at his required level, and replacing bonafide adds with fake apps so that they can control and conduct surveillance on all of my Apple Devices. </p><p>I have reported this problem to Apple and they are worthless.  Not enough training, and the service is inferior.  </p><p>I need upper level technical support to identify how they are manipulating my browsers so that they provide absolutely no security. </p><p>Malwarebytes is manipulated, Avast as well, and they have downloaded an app that allow them to share my screen and collect all of my passwords as they are individually entered. </p>",privacy-and-security_1;firefox-780;desktop;mac-os;malware;escalate;,firefox,privacy-and-security,en-US,1333773;,expertsbk
1295402,2020-07-17 15:52:11 -0800,2020-07-17 21:09:35 -0800,Firefox automatically opens MSN website when router connects,"<p>Hello, </p><p>I'm having a really weird problem with Firefox.  When I turn on my laptop and am already connected to my router, it works perfectly fine - no opening on its own.  However, if I turn on my computer and my network status says ""action needed"", which means I need to click my router to connect, then it opens Firefox and opens <a href=""http://msn.com"" rel=""nofollow"">msn.com</a>. </p><p>It only does this when I have to click/manually connect to my router.  I Googled this and already changed one of the config settings in Firefox.  I have no clue why this is still happening. </p>",websites;firefox-780;desktop;windows-10;,firefox,websites,en-US,1333806;,AllSeeingEyes
1295400,2020-07-17 15:44:24 -0800,2020-07-17 18:47:52 -0800,How do you stay signed into Gmail on Firefox?,"<p>New laptop - have a bookmark in the bookmark tab for gmail - but every time i click the gmail bookmark, i have to sign back into google / gmail - not like that on my old laptop . . . very frustrating . . . help!! </p>",other;firefox-780;desktop;windows-10;,firefox,other,en-US,1333778;,michaelwilsonmorgan
1295399,2020-07-17 15:39:52 -0800,2020-07-17 19:28:22 -0800,Website URL that is a PDF will NOT open like It Used too.,"<p>thanks for your (2) worthless emails on my question last night. Let me make this extremely simple for you. Three days ago Firefox would open a URL link like this one <a href=""https://people.ast.cam.ac.uk/~jds/preds20.pdf"" rel=""nofollow"">https://people.ast.cam.ac.uk/~jds/preds20.pdf</a>  NO PROBLEM, now when I click on a link like this, absolutely NOTHING happens! PLEASE tell me in an understandable step by step way how to get Firefox to work like it use to and open this website along with MANY other websites. </p><p><em>[Profanity removed by moderator. Please read <a href=""/en-US/kb/forum-rules-and-guidelines"" rel=""nofollow"">Forum rules and guidelines</a>, thanks.]</em> </p>",websites;firefox-780;desktop;windows-10;,firefox,websites,en-US,1333765;1333788;,threetenbell
1295398,2020-07-17 15:13:19 -0800,2020-07-17 15:13:19 -0800,Firefox Account Password Change,"<p>The change password feature does not work.  I follow instructions, use my current password (verified) and new password entered twice (they match).  When I click on ""Change"" the border color of the button changes, but nothing happens.  There is no error message, the page is just static indefinitely.  I disabled all add-ons and the same thing happens.  Any ideas for a fix? </p>",privacy-and-security_1;firefox-780;desktop;windows-10;,firefox,privacy-and-security,en-US,"",fatherb88
1295396,2020-07-17 15:00:39 -0800,2020-07-17 18:50:04 -0800,Video's that keep poping up in the right corner of websites,"<p>Does anyone know how to stop these video's from popping up when you visit a website.  I attached a pic from Rolling stone and the vid is bottom right.  Seems to happen on every website and ad blocker, uBlock etc won't stop them. </p>",tips;firefox-780;desktop;mac-os;,firefox,tips,en-US,1333779;,raggbull
1295395,2020-07-17 14:52:30 -0800,2020-07-17 20:24:44 -0800,writing on Wikipedia blocked ?,"<p>To write on Wikipedia became impossible withe Firefox, not with Chrome  or Edge. Why ? </p>",privacy-and-security_1;firefox-780;desktop;windows-10;needsinfo;,firefox,privacy-and-security,en-US,1333766;1333798;,coste.christian
