id,created,url,title,content,tags,product,locale
1283296,2020-04-01 08:19:00 -0800,https://support.mozilla.org/questions/1283296,"Settings ""remember logins and passwords for websites"" is grayed out","Firefox doesn't fill in login form anymore, all credentials are available in ""login and password"" section - ""remember logins and passwords for websites"" in settings is grayed out and unmarked - ""Always use private browsing mode"" in history section is unmarked - ""signon.rememberSi...",firefox-740;desktop;privacy-and-security_1;mac-os;,firefox,en-US
1283315,2020-04-01 13:51:56 -0800,https://support.mozilla.org/questions/1283315,Prefer:Safe - Have to use a Microsoft Account: doesn't that allow MS to track?,Hello all. With the advent of Covid-Home-Schooling-Online I need to secure the Windows laptop for an 8 yr old. I already use Firefox and am researching best methods of making safe for kids. Options so far are installing Parental Control Addins that I am warned is 'NOT A RECOMMEND...,firefox-740;desktop;privacy-and-security_1;windows-10;,firefox,en-US
1283327,2020-04-01 21:23:48 -0800,https://support.mozilla.org/questions/1283327,"Error code: MOZILLA_PKIX_ERROR_V1_CERT_USED_AS_CA, i dont even understand what t",I have no clue on what to do or how to do it... Please send help... ,firefox-740;desktop;privacy-and-security_1;windows-10;needsinfo;,firefox,en-US
1283387,2020-04-02 13:03:30 -0800,https://support.mozilla.org/questions/1283387,Twitter Data Cache. Am informed by Twitter that Firefox is retaining my data bey,As above ,privacy-and-security_1;firefox-730;desktop;windows-7;twitter;02april2020twitter;,firefox,en-US
1283432,2020-04-03 04:03:39 -0800,https://support.mozilla.org/questions/1283432,Firefox still keeps asking for master password after applying fixes,I have applied the suggested fix for stopping the master password from popping up every time I go to a new site but it keeps happening. I open firefox with google search. I start to enter a search but the master password box pops up and I find I am typing my search query in the M...,firefox-740;desktop;privacy-and-security_1;masterpassword;,firefox,en-US
1283446,2020-04-03 08:44:35 -0800,https://support.mozilla.org/questions/1283446,Why is Firefox remembering history in Private Window?,"When I close a Private Window and then reopen a New Private Window, Firefox opens that last page I visited in Private Mode. What is the point of browsing in private if it acts just like regular mode and remembers the history? ",firefox-740;desktop;privacy-and-security_1;windows-10;,firefox,en-US
1283471,2020-04-03 13:28:33 -0800,https://support.mozilla.org/questions/1283471,How do I prevent a popup after my own mouseclick (websites designed to cause thi,"1.  Where is the top level ""community forum""?  I've spent 10 or 15 minutes wandering around a maze of Mozilla support pages without ever getting to a top level ""now you can look at postings"" page.   So... I'm stuck posting to ask where I could've avoided posting.    2.   And the ...",firefox-740;desktop;privacy-and-security_1;windows-10;,firefox,en-US
1283472,2020-04-03 13:35:03 -0800,https://support.mozilla.org/questions/1283472,"A small suggestion about the ""MASTERE PASSWORD"" and how it works.","This is more me ""thinking aloud"" about the master password and how (I think) it works. My take is that:  Without it being set, all you saved logins can be seen and any saved passwords are accessible to anyone.   Including remote programs, etc. So, you set a master password, and a...",firefox-740;desktop;privacy-and-security_1;linux;,firefox,en-US
1283479,2020-04-03 16:29:34 -0800,https://support.mozilla.org/questions/1283479,Firefox blocks C-NET videos because of bad certificates,"I treid to view a video on C-NET and Firefox blocked it, cut the connection, complaining that their security certificate was bad.  And their was no way to override Firefox.  So I have not seen the video.  That is arrogant bad programming.  Do you  think that I am so stupid that I...",firefox-740;desktop;privacy-and-security_1;linux;probablynotafirefoxproblem;cnet;,firefox,en-US
1283528,2020-04-04 09:07:41 -0800,https://support.mozilla.org/questions/1283528,Quick Question: Does firefox containers seperate the cache?,"I was just wondering if the containers feature in Firefox separates out the cache per container or the websites can access the cache regardless of the container they are in. If so, is there any way to change that behavior? ",privacy-and-security_1;firefox-730;desktop;,firefox,en-US
1283559,2020-04-04 18:00:20 -0800,https://support.mozilla.org/questions/1283559,how to desable mozila private windows,do not need from private windows mode ,firefox-740;firefox-7401;desktop;privacy-and-security_1;windows-10;,firefox,en-US
1283560,2020-04-04 18:18:02 -0800,https://support.mozilla.org/questions/1283560,I have had to log into both Facebook and Twitter today despite having my login a,"I had to login into facebook when I booted up this morning.  I do not normally have to do this, when I start up.  I did not have to login into Twitter, but when I restarted Firefox later in the morning I was prompted for the logins.  This has not happened before. ",firefox-740;desktop;privacy-and-security_1;windows-10;,firefox,en-US
