id,created,updated,title,content,tags,product,topic,locale,answers,creator
1245381,2018-12-31 15:33:47 -0800,2018-12-31T16:01:34Z,How do I get out of full screen Firefox?,"<p>I hit something that made my Firefox on I Mac go fullscreen and try as I might I can't get back to a small screen, which is what I want. I use a Mac </p>",mac-os;desktop;tips;firefox-640;,firefox,tips,en-US,1185390;,glynda
1245380,2018-12-31 15:27:48 -0800,2018-12-31T16:10:00Z,Firefox Won't Even TRY to Open Website,"<p>There are no restrictive settings turned on. I have turned off all known restrictive settings except in config. The website will open in Avast Secure Browser. Firefox will not even TRY to open the website. I can either use a bookmark or type in the address. Firefox simply ""blinks"" and then clears the address line and displays the previously opened page or a blank page if that was what I started with. ALL history, cookies, and settings have been cleared. Nothing. Avast has been disabled until I restart the computer. Nothing. I've turned off the firewall. No change. Yes, I have an older version. No, I will not update. There is no update for a specific add-on. </p>",windows-7;desktop;websites;firefox-470;,firefox,websites,en-US,1185392;,ScubaGolfJim-
1245379,2018-12-31 15:07:46 -0800,2019-01-01T11:07:09Z,I am not able to visit any Autozone websites??,"<p>Hello all, my name is Zack Lloyd. and I use a Macbook Pro laptop, using Firefox 64, and I am not allowed to visit any AutoZone websites for some reason.... Every time I click on any Google search results that are from AutoZone, or if I type autozone into the search bar, I am taken to the attached error page?? Has my IP been blocked by AutoZone, for some reason?? Am I never allowed to even visit one of their websites again, or is something wrong Please?? I have already gone into the browser setting menu, and disabled Proxy, but I am still banned from AutoZone websites, and am hoping someone can explain this to me.... Thanks in advance!! </p>",mac-os;desktop;websites;escalate;certificates;firefox-640;,firefox,websites,en-US,1185501;1185504;,zlloyd1
1245377,2018-12-31 14:01:49 -0800,2018-12-31T18:33:18Z,backup/restore versus import/export html,"<p>So I want to archive/backup my bookmarks. I see that I can ""Backup"" and ""Restore"" to/from a json file, or I can ""Export Bookmarks to HTML"" and then ""Import Bookmarks from HTML"". Moz support suggests doing the former, though I know the latter works. Why would I do one instead of the other? FWIW, the html file I get is 8MB, while the json file is just 1MB. This seems positively screwy to have two completely separate ways of doing backups. What are these functions intended to be for? Maybe these are intended to allow porting bookmarks to/from different browsers? </p>",mac-os;desktop;bookmarks;howtousefirefox;firefox-640;rolandff64experiment;,firefox,bookmarks,en-US,1185381;1185383;1185414;1185416;,danll
1245375,2018-12-31 13:58:25 -0800,2018-12-31T14:48:37Z,Error when trying to start Firefox with my old profile.,"<p>I recently got my computer up and running after not using it for a few months so I've seen that in that time Firefox has updated but I also noticed that my profile was gone and an ""Old Firefox Data"" folder was now on my desktop. I searched online on how to import my old profile and all and did the steps and everything seemed fine but once I closed out Firefox and tried to open it again I kept getting an error window. </p><p>It appears in a gray window and says this in it. </p><p>XML Parsing Error: undefined entity Location: chrome://browser/content/browser.xul Line Number 393, Column 7:      &lt;menuitem &lt;="""" hidden=""true"" id=""context_reloadSelectedTabs"" label=""&amp;amp;reloadTabs.label;"" p=""""&gt; &lt;/menuitem&gt;</p><hr>^ <p><br> This has never happened to me before whenever I've had to import my old profile to a new version of Firefox or anything. I'm only able to currently use it by using the default profile. </p>",desktop;other;windows-10;firefox-640;,firefox,other,en-US,1185382;,Enigmaticsoul
1245369,2018-12-31 11:26:21 -0800,2018-12-31T19:17:43Z,account password does not synch,"<p>Password manager has the following as username/password: </p><p>{""version"":1,""accountData"":{""kA"":""daf780faffca844190f8cafd72e0ffd2b0dc730be050f816fc8b91544592b66b"",""kB"":""248cb00e68ab3f8885d9ac097467b74c649e1f64521327100050dd9774423408f33fe7b89439caf0ff232cf9fc43b696""}}   </p><p>I've no idea how that complex became user/pass...I acquired new machine Win10 and want to sync my old Win7 o/s Firefox with this new one and it won't sync. HELP!! </p>",desktop;privacy-and-security_1;windows-10;firefox-640;,firefox,privacy-and-security,en-US,1185412;1185424;,Paulrevere01
1245365,2018-12-31 11:33:24 -0800,2019-01-02T07:20:12Z,The top of my broswer is having some bizzare issues where the text looks like some has beens cracthing it with a pen on the bookmars bar as well as in the url,<p>It is non urgent but for some reason firefox is doing this when I'm running. Some times it's perfect othertimes it is blacking out/scratching out the browser options. I don't know if this is a hardware issue v. a software issue or if it is just a simple fix.  </p><p>Thanks in advance. </p>,desktop;fix-problems;windows-10;firefox-640;,firefox,fix-problems,en-US,1185314;1185328;1185329;1185546;1185657;,NaMe24
1245362,2018-12-31 09:02:48 -0800,2018-12-31T21:24:29Z,I have to click on a bookmark twice to navigate to it,"<p>All of a sudden, I have to click on a bookmark (or a recently used address from the drop down) twice in order to navigate to that address.  When I click on either of these, I am navigated to the address that I am currently on - again.  Once I click on the bookmark a second time, I am finally navigated to that address. </p><p>Anyone else have this problem?  Any ideas? </p><p>Thanks for any info that you can provide! </p>",windows-7;desktop;fix-problems;firefox-640;,firefox,fix-problems,en-US,1185297;1185306;1185310;1185397;1185409;1185434;,davesuff
1245361,2018-12-31 09:01:32 -0800,2019-01-01T05:07:24Z,"cannot reply to emails in outlook, and other things","<p>For about a month, when I reply to an email, I get an error saying ""the senders message cannot be displayed"" then it disappears and I get another message saying it will be attached to the reply.  When I click on Send, I get another error saying it cannot be sent at this time, try again later.  Also, sometimes I click on a folder like deleted emails and I get a message saying the folder is empty or it cannot display anything again and to try later. </p><p>I have refreshed Firefox, and have disabled add ons and cleared the cache and history.  I also launched Firefox with a different profile.  I also tried to run the profile manager but when I start the command it just opens up another browser window. </p><p>Outlook works fine in Edge. </p>",desktop;other;windows-10;firefox-640;,firefox,other,en-US,1185324;1185386;1185393;1185447;1185460;1185461;,rohmer
1245360,2018-12-31 08:36:50 -0800,2019-01-03T19:26:01Z,"My email will not ""reorder"" I have 10 or so old emails that come to the top of the page, and will not sort?",<p>Email works on other browser's.  Firefox has the end of Page 2 on the top of page one?? As I throw New mail's away more come to the top of page one? </p>,desktop;customize;windows-10;webmail;email;spectrum;probablynotafirefoxproblem;firefox-640;spectrumwebmail;rolandff64experiment;,firefox,customize,en-US,1185299;1185379;1185380;1185385;1185915;1185939;1185947;1185958;1185987;1186030;1186037;1186042;1186046;1186050;1186062;1186086;,PAPATHOR
