id,created,updated,title,content,tags,product,topic,locale,answers,creator
1277846,2020-01-20 15:25:17 -0800,2020-01-20T18:24:22Z,"When I navigate to www.americanthinker.com, click an article, and click ""Toggle reader view"", the text appears twice.","<p>When I navigate to <a href=""http://www.americanthinker.com"" rel=""nofollow"">www.americanthinker.com</a>, click an article, and click ""Toggle reader view"", the text appears twice. </p>",other;firefox-720;desktop;windows-10;,firefox,other,en-US,1283066;1283076;,mrichmon2
1277845,2020-01-20 15:13:41 -0800,2020-01-22T15:39:09Z,Can't block updates,"<p>Running v68.4.1 esr. Have set app.update.auto to false (interesting this pref shows twice in about:config). Have removed the update URL Firefox is still trying to update. Many updates break something, so I want to manage the 10 PCs on Firefox on my schedule. I test all updates and resolve any issues before I roll out updates - the whole point of an ESR release.  What am I missing? </p><p>Now that an update has been detected, once I block update, how do I get rid of the notification? If I back up my profile folder, uninstall and reinstall Firefox, then copy back my profile is it simply going to put it back to the state it's in now... wanting to update? </p>",download-and-install_1;desktop;windows-10;,firefox,download-and-install,en-US,1283065;1283172;1283395;1283609;1283655;,imarobot124
1277844,2020-01-20 14:36:50 -0800,2020-01-20T14:59:23Z,How do I enable Private Browsing permanently?,"<p>I'm sure this question has been asked before, but this is the page that appeared when I typed my question. I have rarely used Firefox - I want to use Private Browsing permanently. I am using NordVPN as my private network and apparently it only works with private browsing.  I tried to find the answer online, but the results led me to articles from 2010 and 2011. I am using Windows 10 and Firefox version 72.0 </p>",privacy-and-security_1;firefox-720;desktop;windows-10;,firefox,privacy-and-security,en-US,1283018;1283024;1283026;,1966jfred
1277842,2020-01-20 14:17:59 -0800,2020-01-20T15:06:31Z,How do I permanently disable pinch/zoom?,"<p>I don't need it. I don't want it. If I want to zoom in, I will use the option, to do so. I will NEVER use pinch/zoom on my laptop and it is a harrowing experience with everything I do when online. Even while writing this and trying to scroll, it zooms.  </p><p>Please do not tell me to disable it in Windows. I use an external keyboard and Windows  ̶r̶e̶f̶u̶s̶e̶s̶ ̶t̶o̶ ̶o̶f̶f̶e̶r̶  doesn't have that option for an external keyboard. </p>",firefox-720;desktop;fix-problems;windows-10;,firefox,fix-problems,en-US,1283032;,magnoliasouth
1277841,2020-01-20 14:16:45 -0800,2020-01-20T15:16:30Z,How do I increase the global default zoom level above 100%?,<p>I know I change change the zoom level of individual websites. I want to change the global default zoom level. </p>,other;firefox-720;desktop;windows-10;,firefox,other,en-US,1283036;,bond44065
1277840,2020-01-20 13:42:46 -0800,2020-01-24T16:39:22Z,firefox won't open and keeps prompting for permission to make changes,"<p>We updated the machine from Win 7 to Win 10. (Firefox worked before the update). After the update was complete, we tried to open Firefox and was prompted with the Windows 10 ""User account control"" permission prompt window. If we click YES on the UAC window, it closes and comes back (the User Account Control window).  </p><p>I cannot get Firefox to open. the UAC window just keep re-appearing no matter how many times I click yes. I tried uninstalling re-installing. Same result. I tried uninstalling and installing Version 71 (the current version is 72). Version 71 opened 1 time. Then I closed it and re-opened it, The same UAC prompt appears and the issue repeats. </p>",download-and-install_1;firefox-720;desktop;windows-10;,firefox,download-and-install,en-US,1283067;1283370;1284271;1284308;,jhazlip
1277838,2020-01-20 13:22:02 -0800,2020-01-21T13:20:37Z,"How do I force firefox delete all cookies and site data when I close it, without forbidding remembering them?","<p>Hello. </p><p>I want Firefox to delete all data, which means cookies and site data, when I close all Firefox's windows. But since I migrated to win10, I've been experiencing a trouble. </p><p>Back in my win7 environment, things were working as intended.  I went to ""about:preferences#privacy"". Then on ""Cookies and Site Data"" section, I ticked ""Delete cookies and site data when Firefox is closed."" And on ""History"" section, I chose ""Firefox will Use custom settings for history"". And I ticked ""Clear history when Firefox closes"". Also I ticked all boxes on ""Settings for Clearing History"" window. All data seemed deleted when I closed Firefox back then. </p><p>But things were changed in a weird way.  The settings on ""History"" section is working but I've noticed some leftovers. All cookies are gone and you're logged out, but I noticed that some sites STILL have some settings. A example is ""<a href=""http://tenki.jp"" rel=""nofollow"">tenki.jp</a>"", which is a weather forecast page. I opened a page of a location, and close Firefox, and start Firefox, and went to the top page, but it still remembers the location which I checked earlier. The setting on ""Coolies and Site Data"" section is worse. It works, but not in the intended way. I opened a page of a location on the weather forecast site, and went to the top page, it of-course remembered the location. But I opened the top page on ANOTHER TAB, it forgets the location. It seems like Firefox shares cookies and log-in information between tabs, but don't shares this sort of data when the setting is ticked. </p><p>I don't understand what is going on. All I know is that some sites uses ""that sort of data"", which is not cookies and site data apparently, to store site settings, and Firefox can't handle them well. </p><p>If you know a solution, please let me know. </p><p>I'm using 72.0.2 64bit on Windows 10 Pro 64bit Japanese. </p><p>Thanks. </p>",privacy-and-security_1;firefox-720;desktop;,firefox,privacy-and-security,en-US,1282976;1282977;1283002;1283148;1283157;1283284;,tanon.support
1277837,2020-01-20 13:19:15 -0800,2020-01-20T14:53:25Z,Cleaning up the address bar,<p>All of the tweaks I used in FF 71 don't seem to be working.  There's so much garbage in the address bar that I can't read the URL. </p>,customize;desktop;firefox-720;windows-10;,firefox,customize,en-US,1283021;,rosawood
1277836,2020-01-20 13:06:32 -0800,2020-01-20T21:05:20Z,"Sometimes, when I go onto some website, the screen goes dim and there's a continue and an X option. Can you help me figure out what's causing it?","<p>It seems to happen at random, but when I go to any website (ex. eBay, YouTube), sometimes the screen goes dim and there are two options: Continue and X.  </p><p>I use an ad blocker, so it might be that some ad partially got somewhat past the ad blocking system, but the ad itself didn't get through.  </p><p>I have the Firefox VPN, but I wasn't using it at the time this image was taken. </p><p>It only seems to happen on Firefox. </p><p>Apart from the ad blocker thing, I don't know what could be causing the problem.  </p><p>I would appreciate it if anyone else has seen this before, or could help me find the cause of it. </p>",fix-problems;firefox-720;desktop;firefox-7201;,firefox,fix-problems,en-US,1283117;,Greendude934
1277832,2020-01-20 12:47:22 -0800,2020-01-23T11:46:47Z,how can I restore / recover accidentially deleted history? Linux Mint 17 Qiana Firefox 66.0.3,<p>accidentially I deleted the history of some months ago that I wanted to keep as it slipped down while I thought I deleted just another day. How can I restore / recover / undelete the history of a Month that I want to keep? Today I deleted (20.01.2020) ist an it was I think the history (cache) of October or sth. </p><p>Would be great if someone knows help. </p>,firefox-660;websites;desktop;dataloss;,firefox,websites,en-US,1282980;1283142;1283230;1283272;1283313;1283433;1283450;1283451;1283716;1283742;1283884;1283892;1283912;,meinfrieden
